name,AT hydro,FI hydro,BA hydro,FR hydro,NO hydro,BE hydro,GB hydro,PL hydro,BG hydro,GR hydro,PT hydro,CH hydro,HR hydro,RO hydro,CZ hydro,HU hydro,RS hydro,DE hydro,IE hydro,SE hydro,IT hydro,SI hydro,ES hydro,LT hydro
2011-09-09 08:00:00,1388.33901657,276.748385506,55.6627016091,763.284487329,17257.1063389,9.53772138728,279.950390011,43.3287434933,101.226464579,13.0448157808,31.7288945581,4201.21533738,25.7536699767,376.221347058,83.0368873562,2.47415037201,35.5708404863,124.892939933,46.0473870431,5955.39486584,2045.63923743,74.4145302216,462.471627944,22.4338386947
2011-09-09 09:00:00,1387.68056942,276.715327816,55.6071320945,763.224189774,17251.6062782,9.54259051296,280.19802346,43.2962796366,101.11614346,13.0353969949,31.7219231849,4197.04380374,25.7513674738,375.871666599,83.0127785805,2.47204102591,35.5347204185,124.965773927,46.0874830951,5969.21349028,2044.09358085,74.3653788153,462.283472795,22.433713724
2011-09-09 10:00:00,1387.00490607,276.681930399,55.5512274822,763.161899043,17245.6877137,9.54745964163,280.448724006,43.2639395115,101.005807072,13.0259948395,31.7143924351,4192.79362359,25.7489458947,375.523021224,82.9886915829,2.46988380468,35.4987371007,125.037160482,46.1272070474,5982.90969502,2042.52207843,74.3154760495,462.099468755,22.4335902835
2011-09-09 11:00:00,1386.31187387,276.648196991,55.4950480222,763.097715214,17239.3644897,9.55233597575,280.703031675,43.2317186116,100.895480671,13.0165953327,31.7063989683,4188.46557586,25.7462805676,375.175342364,82.9646697646,2.46769530181,35.4628689645,125.10705493,46.1665469291,5996.48145096,2040.92535019,74.2648725581,461.919670614,22.4334740658
2011-09-09 12:00:00,1385.60132017,276.614131326,55.4386539646,763.031738363,17232.6504505,9.55722671778,280.961486492,43.1996124301,100.785189514,13.0071844931,31.6980394442,4184.06043945,25.7432468205,374.828561451,82.9407565264,2.46549211077,35.4270944417,125.175412603,46.2054907695,6009.92672901,2039.30401615,74.2136189747,461.744133159,22.4333707636
2011-09-09 13:00:00,1384.87309231,276.579737141,55.3821055595,762.964068567,17225.5594405,9.5621390702,281.224628484,43.1676164605,100.674958855,12.9977483389,31.6894105226,4179.57899327,25.7397199816,374.482609915,82.9169952693,2.46329082504,35.3913919639,125.242188831,46.244026598,6023.24350006,2037.65869635,74.1617659331,461.57291118,22.4332860696
2011-09-09 14:00:00,1384.12703766,276.545018169,55.3254630569,762.894805904,17218.1053038,9.56708023545,281.492997676,43.1357261961,100.564813951,12.9882728885,31.680608863,4175.02201623,25.7355753789,374.137419188,82.8934293944,2.4611080381,35.3557399629,125.307338947,46.2821424439,6036.42973503,2035.99001081,74.1093640672,461.406059466,22.4332256765
2011-09-09 15:00:00,1383.36300357,276.509978148,55.2687867068,762.824050451,17210.3018849,9.572057416,281.767134094,43.1039371303,100.454780059,12.9787441603,31.6717311253,4170.39028724,25.7306883406,373.792920701,82.8701023026,2.45896034342,35.3201168702,125.370818282,46.3198263364,6049.48340481,2034.29857955,74.0564640105,461.243632804,22.433195277
2011-09-09 16:00:00,1382.58083737,276.474620811,55.2121367595,762.751902284,17202.163028,9.57707781432,282.047577763,43.0722447565,100.344882432,12.9691481725,31.662873969,4165.6845852,25.7249341947,373.449045885,82.847057395,2.45686433447,35.2845011177,125.432582167,46.3570663048,6062.4024803,2032.58502261,74.0031163969,461.085685985,22.4332005638
2011-09-09 17:00:00,1381.78038643,276.438949894,55.1555734649,762.678461482,17193.7025774,9.58214863287,282.334868709,43.0406445681,100.235146329,12.9594709436,31.6541340539,4160.90568903,25.7181882693,373.105726171,82.8243380726,2.45483660474,35.248871137,125.492585934,46.3938503784,6075.18493241,2030.84996001,73.9493718602,460.932273797,22.4332472295
